lat,lon,alt_m
51.42305434,-2.67041145,40.00
51.42317253,-2.66975234,40.00
51.42344836,-2.66821410,40.00
51.42345100,-2.66819937,40.00
51.42369357,-2.66837622,40.00
51.42350802,-2.66941099,40.00
51.42349333,-2.66949293,40.00
51.42326171,-2.67078459,40.00
51.42347405,-2.67113004,40.00
51.42353830,-2.67077176,40.00
51.42384351,-2.66906964,40.00
51.42393118,-2.66858075,40.00
